size;type;color;printing;quantity;price
Servilletas 20x20 (10x10 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;45.50
Servilletas 20x20 (10x10 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;75.00
Servilletas 20x20 (10x10 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;1.000 uds.;120.00
Servilletas 20x20 (10x10 plegada);2 Capas;Blanco;Deluxe a 2 Tintas;250 uds.;55.00
Servilletas 20x20 (10x10 plegada);2 Capas;Blanco;Deluxe a 2 Tintas;500 uds.;90.00
Servilletas 20x20 (10x10 plegada);2 Capas;Negro;Deluxe a 1 Tinta;250 uds.;48.00
Servilletas 20x20 (10x10 plegada);2 Capas;Negro;Deluxe a 1 Tinta;500 uds.;80.00
Servilletas 20x20 (10x10 plegada);3 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;52.00
Servilletas 20x20 (10x10 plegada);3 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;85.00
Servilletas 24x24 (12x12 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;48.00
Servilletas 24x24 (12x12 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;78.00
Servilletas 24x24 (12x12 plegada);2 Capas;Beige;Digital a Todo Color;500 uds.;95.00
Servilletas 30x30 (15x15 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;52.00
Servilletas 30x30 (15x15 plegada);2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;85.00
Servilletas 30x30 (15x15 plegada);3 Capas;Burdeos;Digital a Todo Color;1.000 uds.;180.00
Servilletas 33x33 (16,5x16,5 plegada);2 Capas;Blanco;Sin Personalizar;250 uds.;35.00
Servilletas 33x33 (16,5x16,5 plegada);2 Capas;Blanco;Sin Personalizar;500 uds.;60.00
Servilletas 40x40 (20x20 plegada);Doble Punto;Blanco;Deluxe a 1 Tinta;250 uds.;65.00
Servilletas 40x40 (20x20 plegada);Doble Punto;Blanco;Deluxe a 1 Tinta;500 uds.;110.00
Servilletas 40x40 (20x20 plegada);Doble Punto;Negro;Digital a Todo Color;1.000 uds.;220.00
Servilletas 40x40 (10x20 plegada);Tisú Seco;Blanco;Estándar a 1 Tinta;500 uds.;95.00
Servilletas 40x40 (10x20 plegada);Tisú Seco;Azul Marino;Estándar a 2 Tintas;1.000 uds.;180.00
Posavasos 9 cm., redondo;2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;38.00
Posavasos 9 cm., redondo;2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;65.00
Posavasos 9 cm., redondo;2 Capas;Negro;Digital a Todo Color;500 uds.;85.00
Posavasos 9 cm. cuadrado;2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;40.00
Posavasos 9 cm. cuadrado;2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;68.00
Posavasos 9 cm. cuadrado;3 Capas;Verde Pino;Digital a Todo Color;1.000 uds.;150.00
Mantelín 30x40 cm.;2 Capas;Blanco;Deluxe a 1 Tinta;250 uds.;75.00
Mantelín 30x40 cm.;2 Capas;Blanco;Deluxe a 1 Tinta;500 uds.;130.00
Mantelín 30x40 cm.;2 Capas;Reciclado;Sin Personalizar;500 uds.;95.00
Mantelín 30x40 cm.;Doble Punto;Blanco;Digital a Todo Color;1.000 uds.;280.00
